<DATE>	<CLOSE>	<VOL>
20161220	2226,36	28490616452
20161221	2212,33	40851561669
20161222	2174,64	37392540000
20161223	2173,18	25994807359
20161226	2177,86	12072751796
20161227	2189,43	14891010028
20161228	2182,98	23747491439
20161229	2206,33	26111105459
20161230	2232,72	25270883590
20170103	2285,43	35361476775
20170104	2263,9	25110003543
20170105	2220,35	27415124274
20170106	2213,93	20165327203
20170109	2211,25	22482015752
20170110	2237,49	36020856703
20170111	2218,61	36461564415
20170112	2212	2356857806
20170113	2195,19	42466050989
20170116	2189,07	23936262365
20170117	2178,73	28139377671
20170118	2170,09	30577942830
20170119	2162,25	37111133409
20170120	2159,96	31573243736
20170123	2146,09	26168520190
20170124	2174,59	33802172657
20170125	2176	31668116818
20170126	2229,2	43653193710
20170127	2266,05	49995044331
20170130	2234,14	-19031079738
20170131	2217,39	33330303997
20170201	2231,68	28946938830
20170202	2217,56	32135487325
20170203	2226,61	30332628482
20170206	2210,51	28053268013
20170207	2218,77	24378965516
20170208	2189,61	36147621890
20170209	2173,98	37686993129
20170210	2162,19	32483207075
20170213	2161,49	30244774907
20170214	2141,5	29242797430
20170215	2137,08	39741338423
20170216	2148,48	28986630294
20170217	2128,21	30610671678
20170220	2119,09	25017968927
20170221	2127,72	25802257924
20170222	2106,3	31743152868
20170224	2093,09	24248539319
20170228	2035,77	59230525482
20170301	2059,87	35156360450
20170302	2049	39659486462
20170303	2056,89	31462614291
20170306	2047,42	26840317666
20170307	2024,84	34600927950
20170309	1974,24	56369667357
20170310	1973,96	38834557616
20170313	2000,14	27317778869
20170314	2001,25	33708845678
20170315	1992,59	28134110175
20170316	2014,37	49622252909
20170317	2036,96	43408044658
20170320	2042,72	30739790860
20170321	2048,07	34653523262
20170322	2061,53	37041863228
20170323	2051,04	32278458613
20170324	2039,77	21233341858
20170327	2013,16	25919840323
20170328	2032,54	25069436844
20170329	2023,71	21501534788
20170330	2021,88	24820610557
20170331	1995,9	23908791980
20170403	2008,61	20591635070
20170404	2025,69	20589349584
20170405	2056,32	33005042734
20170406	2054,69	22710629637
20170407	2020,23	34864697913
20170410	1971,23	40058371369
20170411	1977,95	32506887352
20170412	1947,88	29979954344
20170413	1944,7	40271297242
20170414	1916,29	12663595568
20170417	1942,72	19625706303
20170418	1920,29	27847626929
20170419	1916,5	25154193665
20170420	1932,17	34345740913
20170421	1944,72	30258091558
20170424	1979,57	35120007104
20170425	1998,41	33295013120
20170426	2026,92	34805951525
20170427	2011,67	39587702578
20170428	2016,71	36350344528
20170502	2026,85	31117806259
20170503	1993,66	35180986733
20170504	1998,87	30938975811
20170505	2002,41	25800797651
20170510	2028,21	31628194140
20170511	2002,54	31574420991
20170512	1994,58	24917567498
20170515	2003,12	31075420850
20170516	1992,94	30635088434
20170517	1994,35	25668959798
20170518	1967,66	40953029940
20170519	1962,4	31187471685
20170522	1950,51	23602706319
20170523	1960,16	27659608068
20170524	1951,98	28695792399
20170525	1947,26	25550829769
20170526	1934,25	30647468029
20170529	1940,77	20422932144
20170530	1932,91	25322211657
20170531	1900,38	71545660505
20170601	1869,66	42283112574
20170602	1881,87	35330749009
20170605	1877,69	23408584007
20170606	1870,04	20948993561
20170607	1868,42	26889290070
20170608	1874,21	33402130491
20170609	1883,34	25386395503
20170613	1861,27	29671134220
20170614	1838,32	36461031355
20170615	1817,82	90850626608
20170616	1822,91	40514022653
20170619	1849,78	26321139977
20170620	1857,96	33485030802
20170621	1850,81	32260874865
20170622	1860,05	32802839592
20170623	1867,46	25091978309
20170626	1860,39	22580884817
20170627	1878,94	26711284361
20170628	1891,98	24870797072
20170629	1881,04	27268675444
20170630	1879,5	31119075504
20170703	1902,59	21689196815
20170704	1917,4	23689847047
20170705	1921,38	27620038524
20170706	1923,22	31039714289
20170707	1912,48	32083641556
20170710	1925,74	28979604237
20170711	1937,64	28624181902
20170712	1954,39	36305532786
20170713	1959,91	36308674211
20170714	1960,69	25452592793
20170717	1959,11	26054621581
20170718	1947,71	28468668592
20170719	1951,89	29405243087
20170720	1946,51	24831080038
20170721	1925,13	24212162259
20170724	1931,75	28107906199
20170725	1923,73	29664231265
20170726	1933,1	25183526803
20170727	1945,12	25403119121
20170728	1916,75	31617475393
20170731	1919,53	32794752904
20170801	1940,14	31002671935
20170802	1965,48	30249728706
20170803	1965,29	26140336130
20170804	1953,49	22707183015
20170807	1970,37	23784276377
20170808	1989,61	27593270851
20170809	1975,91	26564079195
20170810	1960,23	22287880106
20170811	1944,83	31705736112
20170814	1951,75	18662401272
20170815	1950,28	20469517277
20170816	1942,88	32207183200
20170817	1941,52	18614476088
20170818	1930,71	25282259050
20170821	1937,66	20014616930
20170822	1947,4	25904806192
20170823	1958,52	28660843505
20170824	1973,5	29123932717
20170825	1979,14	31208673629
20170828	1987,15	20300626389
20170829	1989,12	30461927222
20170830	2008,88	38389640750
20170831	2022,22	48267718427
20170901	2010,98	30489251493
20170904	2003,32	21225818753
20170905	2004,02	30737265410
20170906	2014,6	32869337151
20170907	2010,17	31634591463
20170908	2032,75	38258005714
20170911	2044,13	36317540552
20170912	2058,8	31288398754
20170913	2054,19	38010560083
20170914	2052,25	31569273510
20170915	2053,81	32001947618
20170918	2059,08	27791911849
20170919	2048,99	28946462606
20170920	2057,53	35396601120
20170921	2060,24	33057559698
20170922	2051,63	28074449954
20170925	2069,11	36034399685
20170926	2071,13	40745873808
20170927	2081,12	29664329304
20170928	2071,64	25543129539
20170929	2077,19	25879486788
20171002	2075,72	23781336284
20171003	2076,81	29271290869
20171004	2077,09	22612073883
20171005	2088,32	31196036315
20171006	2093,86	29518982080
20171009	2096,29	21834093292
20171010	2086,91	20851365341
20171011	2101,07	34018959291
20171012	2094,96	25726422026
20171013	2098,77	27257297401
20171016	2106,39	27713508271
20171017	2092,57	28669238613
20171018	2094,4	31229047361
20171019	2072,73	29049131346
20171020	2071,83	31894760682
20171023	2063,81	25549512657
20171024	2061,79	26577228482
20171025	2049,48	30312496094
20171026	2046,69	25193087908
20171027	2068,76	32978905862
20171030	2065,25	25948134792
20171031	2064,31	28555231309
20171101	2082,73	36089541735
20171102	2073,04	32705382338
20171103	2081,15	31932210910
20171107	2155,55	76163603392
20171108	2163,01	49040305740
20171109	2183,61	61503124362
20171110	2169,26	61081233718
20171113	2167,63	37970412063
20171114	2166,83	46980543848
20171115	2131,75	53484016959
20171116	2132,65	56322547454
20171117	2131,91	33482727850
20171120	2130,39	26205978752
20171121	2155,82	50470600415
20171122	2160,16	33535162036
20171123	2148,56	30659856682
20171124	2161,17	30413023256
20171127	2145,87	24683806656
20171128	2149,45	31474489665
20171129	2124,08	31363188004
20171130	2100,62	78179988738
20171201	2105,99	32254059971
20171204	2119,42	31678170335
20171205	2113,69	25271043801
20171206	2124,12	24167326032
